tmdb_id,imdb_id,name,country,origin_country,year,first_air_date,original_language,averageRating,numVotes,weighted_rating,vote_average_tmdb,vote_count_tmdb,popularity
84503,tt6994156,Close Enough,US,US,2020,2020-07-09,en,7.8,14451,7.778447937136051,7.921,384,9.3759
7842,tt0130417,The Tom and Jerry Show,US,US,1975,1975-09-06,en,7.8,10914,7.77176932785361,7.684,1166,4.9219
14540,tt0112196,The Tick,US,US,1994,1994-09-10,en,7.8,10733,7.771314440320582,7.4,111,3.5684
1839,tt0108734,The Critic,US,US,1994,1994-01-26,en,7.8,9713,7.768449535701664,7.3,124,6.6097
334,tt0278877,Sealab 2021,US,US,2000,2000-12-21,en,7.8,8706,7.764998382372486,7.443,97,4.027
38165,tt1666278,ThunderCats,US,US,2011,2011-07-29,en,7.8,8108,7.762566810887674,7.91,256,7.61
406,tt0111873,Æon Flux,US,US,1991,1991-09-01,en,7.8,7969,7.761952427455555,7.584,167,3.697
69776,tt4218824,Jeff and Some Aliens,US,US,2017,2017-01-11,en,7.9,2134,7.758684551298822,7.063,32,1.9378
67053,tt5797374,Camp Camp,US,US,2016,2016-06-10,en,7.9,1958,7.748565951229087,8.0,17,3.7594
2073,tt0197148,Mission Hill,US,US,1999,1999-09-24,en,7.8,5741,7.748369669623632,7.485,65,3.3368
215597,tt20978970,The Wingfeather Saga,US,US,2022,2022-12-02,en,8.0,1144,7.743172206886311,7.875,16,2.4289
109930,tt13089270,The Wonderful World of Mickey Mouse,US,US,2020,2020-11-18,en,7.9,1821,7.739627362395992,7.5,101,6.4775
11110,tt0337550,Liberty's Kids,US,US,2002,2002-09-02,en,7.9,1756,7.735006696862189,7.714,21,4.0929
